"nr","deso","area","pop","density"
"866","0180C5080",0.06,1703,28383.3333333333
"867","0180C5090",0.06,1968,32800
"868","0180C5100",0.31,1978,6380.64516129032
"869","0180C5110",0.04,1759,43975
"870","0180C5120",0.14,1770,12642.8571428571
"871","0180C5130",0.04,1245,31125
"872","0180C5140",0.04,1455,36375
"873","0180C5150",0.59,1879,3184.74576271186
"874","0180C5160",0.28,1514,5407.14285714286
"875","0180C5170",0.07,1136,16228.5714285714
"876","0180C5180",0.23,1284,5582.60869565217
"877","0180C5190",0.14,1265,9035.71428571428
"878","0180C5200",0.06,1458,24300
"879","0180C5210",0.26,2553,9819.23076923077
"880","0180C5220",0.05,2033,40660
"881","0180C5230",0.1,1958,19580
"882","0180C5240",0.62,1374,2216.12903225806
"883","0180C5250",0.55,2168,3941.81818181818
"884","0180C5260",0.36,5394,14983.3333333333
"885","0180C5270",0.05,1838,36760
"886","0180C5280",0.04,1436,35900
"887","0180C5290",0.06,1487,24783.3333333333
"888","0180C5300",0.05,2061,41220
"889","0180C5310",0.09,1983,22033.3333333333
"890","0180C5320",1.24,1988,1603.22580645161
"891","0180C5330",0.07,1744,24914.2857142857
"892","0180C5340",3.08,1157,375.649350649351
"893","0180C5350",0.08,1773,22162.5
"894","0180C5360",0.04,1642,41050
"895","0180C5370",0.11,1851,16827.2727272727
"896","0180C5380",0.07,1625,23214.2857142857
"897","0180C5390",0.04,1613,40325
"898","0180C5400",0.64,1536,2400
"899","0180C5410",1.62,1698,1048.14814814815
"900","0180C5420",0.11,3313,30118.1818181818
"901","0180C5430",1.45,3236,2231.72413793103
"902","0180C5440",0.35,1611,4602.85714285714
"903","0180C5450",0.24,2047,8529.16666666667
"904","0180C5460",0.59,1173,1988.13559322034
"905","0180C5470",0.33,1873,5675.75757575758
"906","0180C5480",0.29,949,3272.41379310345
"907","0180C5490",0.27,2922,10822.2222222222
"908","0180C5500",0.34,1656,4870.58823529412
"909","0180C5510",0.15,1630,10866.6666666667
"910","0180C5520",0.97,938,967.010309278351
"911","0180C5530",0.14,2836,20257.1428571429
"912","0180C5540",0.27,2426,8985.18518518518
"913","0180C5550",0.21,1166,5552.38095238095
"914","0180C5560",0.35,892,2548.57142857143
"915","0180C5570",0.26,1543,5934.61538461538
"916","0180C5580",0.16,2124,13275
"917","0180C5590",0.16,1688,10550
"918","0180C5600",0.26,1884,7246.15384615385
"919","0180C5610",0.47,1640,3489.36170212766
"920","0180C5620",0.19,2032,10694.7368421053
"921","0180C5630",0.2,1961,9805
"922","0180C5640",0.65,1166,1793.84615384615
"923","0180C5650",0.35,4170,11914.2857142857
"924","0180C5660",0.19,2223,11700
"925","0180C5670",0.22,2105,9568.18181818182
"926","0180C5680",0.6,2276,3793.33333333333
"927","0180C5690",0.19,4048,21305.2631578947
"928","0180C5700",0.12,1599,13325
"929","0180C5710",0.28,1838,6564.28571428571
"930","0180C5720",0.26,1568,6030.76923076923
"931","0180C5730",0.16,2118,13237.5
"932","0180C5740",1.32,832,630.30303030303
"933","0180C5750",0.11,3218,29254.5454545455
"934","0180C5760",0.14,1858,13271.4285714286
"935","0180C5770",4.62,2211,478.571428571429
"936","0180C5780",0.17,1650,9705.88235294118
"937","0180C5790",0.2,1598,7990
"938","0180C5800",0.66,1755,2659.09090909091
"939","0180C5810",0.33,2291,6942.42424242424
"940","0180C5820",0.78,2307,2957.69230769231
"941","0180C5830",0.83,2187,2634.93975903614
"942","0180C5840",0.5,1539,3078
"943","0180C5850",0.63,2179,3458.73015873016
"944","0180C5860",1.16,3044,2624.13793103448
"945","0180C5870",0.35,1581,4517.14285714286
"946","0180C5880",0.84,1509,1796.42857142857
"947","0180C5890",0.61,1673,2742.62295081967
"948","0180C5900",0.06,2318,38633.3333333333
"949","0180C5910",0.9,2760,3066.66666666667
"950","0180C5920",0.51,1918,3760.78431372549
"951","0180C5930",0.48,1797,3743.75
"952","0180C5940",0.34,1260,3705.88235294118
"953","0180C5950",0.31,1226,3954.83870967742
"954","0180C5960",0.62,1652,2664.51612903226
